,student name,age,average mark
2813,Carly Parker,30,6.34
2741,Manuel Hazen,30,7.45
2742,Mark Engelhart,30,4.56
2748,Larry Holder,30,6.99
2753,Mary Pedigo,30,2.07
2756,Joel Hayward,30,8.14
2777,Vivian Benton,30,5.63
2809,Doris Haynes,30,6.0
3148,Ramon Wheeler,30,8.71
3168,Carmen Watson,30,3.1
3169,Jason Allen,30,2.15
3682,Nena Bertran,30,9.53
3513,Donna Brant,30,2.04
3561,Stephen Carpenter,30,5.96
3587,Cynthia Schneider,30,8.58
3597,Robert Kellum,30,8.44
3664,Patrice Mackiewicz,30,1.73
3673,Christopher Fleming,30,1.02
3675,James Reese,30,0.5
3689,Donna Dorsey,30,9.35
3475,Ashley Christie,30,2.48
3696,Randy Dutcher,30,8.61
3699,Carl Hall,30,0.18
3738,James Figueroa,30,9.74
3762,Lucinda Combs,30,3.76
3773,Rhonda Beach,30,0.41
3805,Joe Sanos,30,2.17
3807,Georgina Prevatte,30,2.01
3510,Patricia Long,30,5.73
3470,Tony Kuzma,30,7.96
3172,Lasandra Nicholson,30,8.52
3282,Raymond Garcia,30,9.14
3193,Gabriel Bellendir,30,8.35
3194,Patrick Breitenstein,30,9.03
3196,Verna Hughes,30,5.39
3206,Allison Quezada,30,4.33
3233,Richard Hughes,30,2.76
3253,Rick Morreale,30,6.35
3276,Paul Avey,30,3.42
3317,Mary Crawford,30,6.74
3434,Marty Youngblood,30,1.01
3329,Elsie Hasson,30,7.72
3331,Jane Smith,30,5.1
3354,Jordan Schweinfurth,30,9.54
3355,Esta Gomez,30,1.06
3356,Christine Gardner,30,1.19
3375,Carl Ross,30,3.18
3416,Kenneth Reeves,30,7.56
347,Keith Garcia,30,0.35
2494,Margaret Williams,30,3.11
261,Toni Gossett,30,8.87
230,Phillip Williams,30,8.71
51,Harry Allen,30,7.35
201,Michele Graves,30,9.06
276,Sandra Barnes,30,5.9
56,Ann Brown,30,5.17
103,Shirley Johnson,30,9.77
240,Rick Tachauer,30,1.37
286,Helen Albert,30,0.5
152,Ernestine Jenkins,30,10.0
140,Amy Wilson,30,2.71
101,Edward Green,30,1.66
308,Thomas Williams,30,5.15
27,Charles Montano,30,7.4
246,Ronald Bennett,30,6.86
247,Jacob Evans,30,3.58
22,Wendy Hajek,30,7.69
42,Leslie Wiggins,30,8.81
243,Joseph Cecena,30,2.47
270,Debby Joseph,30,8.08
142,Charles Johnson,30,6.04
264,Sylvia Mendez,30,8.04
175,Marcus Furukawa,30,0.29
198,James Reeves,30,3.36
82,Teresa Marotta,30,8.55
290,Richard Robinson,30,4.77
116,Marylou Wessner,30,9.46
275,Marjorie Meyer,30,2.62
78,David Jordan,30,2.79
7,Steve Knight,30,3.7
50,Ronald Cloninger,30,4.95
14,Janice Davis,30,6.02
2097,Pamela Boggan,29,9.62
2104,Margaret Muhr,29,5.62
1354,Pedro Elliott,29,7.17
612,Chandra Highsmith,29,8.35
3484,Teresa Cornejo,29,3.56
1357,John Franco,29,2.3
4750,Ruth Blake,29,2.9
2076,Tricia Powell,29,3.84
4131,Donna Dvorak,29,8.04
2103,Herbert Gray,29,1.31
2826,Landon Jackson,29,3.02
631,Eddy Bussard,29,6.24
1360,Michelle Olsen,29,0.61
63,Fannie Kittrell,29,0.86
3588,David Brocklehurst,29,9.11
655,Amanda Mcburney,29,3.67
3576,Audrey Shurman,29,1.5
1977,Raul Smith,29,4.48
1401,Eva Craig,29,0.95
1983,Mae Brown,29,2.05
1988,Douglas Freeman,29,7.62
648,Rupert Fasciano,29,1.93
1997,Robert Brown,29,0.92
4083,Douglass Abraham,29,7.04
2011,Jed Shelnutt,29,4.57
2019,Joseph Locher,29,5.76
868,Jennifer Kirkpatrick,29,6.61
2023,Jessica Horn,29,2.12
2029,Kelly Gates,29,5.01
2030,James Warkentin,29,4.26
2036,Lori Humphrey,29,0.29
2037,Jason Buziak,29,0.82
2040,Karen Parr,29,2.34
2110,Louise Wright,29,3.06
3517,Abigail Ramirez,29,2.63
2052,Patricia Stevens,29,7.57
2056,Francisco Gross,29,2.83
3461,Connie Lovelace,29,5.22
4773,Theressa Laird,29,6.35
606,Cathy Reynolds,29,4.97
2229,Sean Radford,29,4.8
4163,Vernia Dutchess,29,3.79
571,Miguel Dehart,29,8.44
4783,Rocky Magyar,29,0.78
1283,Jerry Demello,29,7.11
2207,Diana Henry,29,0.18
1275,Eric Baez,29,5.13
293,Alberto Young,29,1.01
904,Thomas King,29,2.77
3875,Brenda Miller,29,7.5
2230,Maria Diaz,29,8.16
2121,Eric Krieger,29,1.79
3339,Paul Dodd,29,9.21
3337,Salvador Sweeney,29,7.77
3336,Brian Williams,29,5.02
2236,Raymond Fraiser,29,1.08
3334,Alfred Christiano,29,2.15
906,Peter Gonzalez,29,9.35
2253,Danny Wilson,29,9.56
4184,Brenda Howard,29,1.6
3316,Erin Trantham,29,4.93
4158,Velma Smith,29,7.85
2195,Kaitlyn Baudino,29,1.19
1306,Jody Hight,29,8.09
578,Renee Farfalla,29,7.5
3452,Leslie Dotson,29,0.25
883,Patrick Gang,29,5.52
660,Irma Burlew,29,1.11
599,Carla Sullivan,29,3.24
597,Adam Johnson,29,5.53
4517,Ruthe Vest,29,1.35
3444,Terry Brown,29,4.12
3443,Margaret Alejandro,29,2.37
1331,Toby Schumacher,29,9.3
1326,Fred Ahern,29,5.35
1318,Terry Riffel,29,9.34
1313,Janet Booker,29,1.76
3395,Christine Bieniek,29,3.3
34,Rodney Williams,29,9.22
2182,Angela Christian,29,4.41
582,Alyson Glover,29,7.2
581,Steven Jageman,29,9.68
4777,Megan Butts,29,1.38
4778,Adam Bennett,29,4.23
659,Jody Amerman,29,7.97
4042,Mark Reeb,29,4.69
1406,Steven Crowell,29,4.08
3753,Robert Marshall,29,0.38
4616,Richard Miller,29,6.22
1725,Carissa Adams,29,2.87
4619,Thomas Wison,29,2.41
3776,Cheryl Ballesteros,29,7.36
3953,Richard Thor,29,5.21
3766,Jerome Richardson,29,1.64
750,Casey Butler,29,8.82
3757,Melissa Lindemann,29,5.62
1744,Todd Larrick,29,4.25
3755,Leroy English,29,1.72
4581,Larry Schutt,29,7.72
1793,Gary Watson,29,4.98
3956,Marie Thomas,29,0.84
3750,Adam Elliott,29,3.44
1514,Jennifer Roberts,29,5.88
1768,Thomas Foley,29,4.98
1510,David Chambers,29,1.25
3731,Sima Hogan,29,8.49
3976,Ann Hall,29,3.3
1494,David Ward,29,1.41
3724,Rufus Smith,29,9.81
1782,Felicia Mills,29,1.09
1522,Carmen Peterson,29,7.3
1718,Rene Beck,29,4.34
4614,Pedro Davis,29,3.87
3941,Russell Bustos,29,1.23
232,Lee Bradley,29,8.91
1622,Frances Edelen,29,8.86
788,Amanda Abbott,29,7.38
2824,Cheryl Harmon,29,2.48
1566,Everett Hernandez,29,7.57
1657,Daniel Daniels,29,2.35
1665,Virginia Lee,29,6.77
3833,Frances Bergman,29,8.67
3831,Cynthia Wrenn,29,5.67
3824,Consuelo Lockett,29,3.98
1538,Maria Borjon,29,7.28
3817,Richard Gerald,29,9.15
1681,Sherri Martin,29,7.88
1682,Linda Hanson,29,3.18
85,Cheryl Holstein,29,0.84
769,Sean Loughry,29,9.98
3804,Rickie Rodriguez,29,6.17
808,Christopher Garrison,29,0.76
1532,Curtis Ryan,29,9.48
763,Pamela Winston,29,9.99
1708,Guillermo Harris,29,9.72
3984,Kenneth Stroup,29,7.11
1796,John Ramirez,29,2.02
1409,Steve Simpson,29,9.99
3613,Margaret Anderson,29,7.01
1887,Cecile Odonnell,29,4.49
1441,Mary Lee,29,4.93
1899,Heather Reep,29,6.54
1436,Jimmy Pepper,29,1.74
1907,Alonzo Adam,29,5.58
685,Paula Shaffer,29,0.65
3630,Jill Allgood,29,0.24
3627,Doreen Annino,29,7.63
681,Roman Ross,29,6.52
849,Stevie Guymon,29,6.63
1938,April Smith,29,2.48
3711,Oscar Busch,29,0.69
4698,April Isip,29,8.71
4699,Matthew Amos,29,0.71
4041,George Ward,29,4.71
4702,Christopher Mathis,29,8.51
2266,Denise Allman,29,7.35
3602,William Dollyhigh,29,6.42
4708,James Lynch,29,7.99
4048,Travis Seebach,29,6.7
4059,John Campbell,29,4.22
663,Curtis Moriarity,29,8.22
3645,Grace Barton,29,9.15
1879,Gertie Banks,29,2.5
4679,Helen Jackson,29,5.43
842,Arthur Guthmiller,29,1.46
4638,Thelma Caya,29,5.14
1481,Doreen Smith,29,6.88
3697,Kevin Russell,29,8.74
3692,Elizabeth Burrow,29,0.78
3691,Andrew Pestana,29,7.03
3690,Helen Plumer,29,6.92
1828,Janice Davis,29,1.72
1829,Mary Milam,29,4.14
1830,Diane Enriquez,29,3.9
3680,Kristi Casteel,29,7.01
1471,Howard Monk,29,5.42
4564,Sally Reeves,29,1.67
1464,Melissa Kirby,29,3.81
4011,Lisa Williams,29,9.34
1848,Judith Parker,29,7.45
1458,Sheila Jones,29,7.94
4012,Rena Taylor,29,8.27
702,Darrell Sotto,29,8.57
1860,Eugene Jackson,29,7.01
1449,Thomas Lofgren,29,5.57
4020,Patricia Moore,29,2.61
4187,Joel Perry,29,1.8
1256,Felipe Mcgowan,29,0.53
909,David Martin,29,1.15
2598,Lillian Barajas,29,5.59
3040,Florence Sievers,29,4.05
4907,Brandy Cota,29,1.84
3036,Kelly Stewart,29,5.1
3035,James Cochran,29,7.16
416,Richard White,29,6.77
2581,Joseph Denning,29,3.83
4312,Kyle Smith,29,9.65
2588,Peggy Wilson,29,7.58
4321,Kristy Salcedo,29,1.3
3013,Tara Smith,29,8.32
2599,Michelle Conley,29,1.32
166,Benjamin Kingston,29,2.66
1086,Anna Blake,29,4.12
1075,Vanessa Gonzalez,29,1.18
402,David Walker,29,3.24
4437,Robyn Smith,29,3.88
2988,Deidre Wines,29,8.94
2635,Frances Coke,29,6.34
2638,Michael Olveda,29,0.07
2639,Anita Mckneely,29,4.1
157,Clemente Parks,29,8.44
391,Michael Kelsey,29,4.86
422,Timothy Peck,29,0.91
1117,Janice Winters,29,3.51
4904,Merrilee Buisson,29,8.12
130,Cynthia Kelley,29,7.44
3147,Ruth Morales,29,3.86
2495,Coleen Tello,29,0.3
2501,Teresa Ford,29,2.94
448,Dave Longbrake,29,0.99
447,Diana Oliver,29,5.79
4290,Isabella Cull,29,2.9
3106,Agatha Mcneill,29,2.15
3102,Amanda Brown,29,4.14
4459,Anthony Miller,29,2.58
3094,James Lacy,29,6.57
4882,Michael Angeles,29,2.23
2525,Mable Henderson,29,4.72
4292,Jacob Bostwick,29,2.99
1125,Antony Ackerman,29,9.37
4305,Richard Northup,29,3.87
433,Edward Mccary,29,2.84
2549,Nathanial Cain,29,5.75
2560,Lou Sumpter,29,0.41
4306,Alice Flores,29,4.36
3050,Gloria Lanzilotta,29,6.41
957,Ralph Souza,29,5.29
2645,Elizabeth Harrison,29,6.17
4933,James Waggoner,29,5.77
4360,Juanita Patterson,29,3.0
2745,Geneva Graver,29,8.24
4395,Priscilla Ransdell,29,4.66
2758,Bryan Kasper,29,9.19
2760,Erin Kea,29,9.58
2771,Larry Trickett,29,6.72
349,Scot Flesher,29,9.75
2772,Rachel Harrington,29,5.69
2854,Terry Pecoraino,29,0.42
2852,Dann Clark,29,0.09
2779,Glenda Elrod,29,5.45
1018,Darlene Drahota,29,6.3
2782,Sarah Wright,29,4.67
2783,Kim Ruiz,29,8.82
4977,Josephine Renyer,29,0.59
4981,Chester Williams,29,4.4
1010,Esther Meade,29,2.27
336,Lewis Skinner,29,1.85
2801,Marilynn Tran,29,3.89
993,Mark Wallace,29,4.02
1005,Gloria Byrd,29,8.7
2828,Carmen Moore,29,1.35
4987,David Logan,29,1.55
2871,Scott Austin,29,7.07
4419,Elliot Hunter,29,5.71
133,Valerie Zurita,29,9.09
2721,Steven Brehaut,29,8.82
4362,Nellie Campbell,29,8.13
385,Michael Dirden,29,1.12
135,Andrew Hibbler,29,8.21
383,Lee Dardar,29,7.93
2936,Teresa Perry,29,7.36
2929,Ruby Burton,29,8.73
2926,Edward Bryson,29,6.42
4942,Sandy Smuin,29,9.19
4945,Pearl Bolton,29,1.75
2684,Michael Edmond,29,7.75
2691,Larry Tylor,29,8.59
2919,David Jenkins,29,4.54
2697,Lacie Brown,29,6.31
4950,Judi Aden,29,4.17
4366,Victor Gonzalez,29,3.28
4370,Barbara Cook,29,4.11
2713,Mark Silva,29,3.56
1036,Joanne Luster,29,1.58
1032,Kathleen Boulware,29,1.49
2719,Caroline Moffit,29,1.65
2896,Julia Bourgeois,29,1.67
3149,Ray Sons,29,8.08
3069,Patrick Rushford,29,7.42
4286,Lannie Doney,29,7.41
3181,Kevin Mcglone,29,1.07
2401,James Mckillop,29,6.98
4476,William Fielder,29,8.54
4829,John Hinton,29,9.78
1192,Melanie Harris,29,2.25
2418,Richard Black,29,9.22
3292,Robert Milner,29,2.75
486,Elizabeth Skinner,29,3.29
4245,Jennifer Gray,29,9.78
3298,Richard Dishon,29,9.14
3302,Vincent Carlson,29,8.6
4250,Matthew Parker,29,7.73
4257,Thomas Rubin,29,8.49
11,Rodney Tague,29,1.02
2425,Lorene Ingram,29,2.2
937,Allen Lischak,29,9.02
3269,Wayne Jones,29,7.13
529,Andrew Carter,29,8.24
3214,Sheila Mcmullen,29,4.63
3288,Ruby Moriarty,29,4.3
927,Adam Acosta,29,8.64
3277,Stephen Calderon,29,7.38
508,Ronald Lucas,29,5.7
4220,Raquel Squires,29,6.27
1214,Myrtle Frazier,29,7.66
920,Stephen Strong,29,0.4
2328,Jack Hernandez,29,8.67
3275,Katherine Lessman,29,7.65
3239,Sarah Sneed,29,4.01
2373,Louis Alleyne,29,6.43
3155,Micheal Washington,29,5.91
3281,Lynetta Oneill,29,7.9
518,John Graham,29,0.88
177,Thelma Murray,29,4.53
2381,Brandi Renk,29,2.78
3228,Patricia Rich,29,3.09
4219,Clara Nichols,29,9.32
3223,Jeffrey Caldwell,29,3.89
4857,Mattie Stewart,29,3.23
2343,Marcelina Tusa,29,5.13
2470,Sergio Burnett,29,9.93
3157,Allison Goff,29,6.82
3307,Patricia Bernat,29,4.41
168,Britt Flores,29,0.44
939,Mary Ridgeway,29,2.43
3311,Dorothy Morgan,29,0.61
2456,Christopher Silvia,29,7.68
537,Thomas Mckenny,29,5.18
466,Kim Nuttall,29,9.8
2455,Carrie Weber,29,3.48
4814,Perry Andrews,29,3.05
1148,Micheal Calloway,29,9.72
1155,Denise Gomez,29,8.05
4861,Tamara Council,29,6.63
1144,Mark Howk,29,8.1
943,Lavonda Boyd,29,8.44
2444,Irene Farr,29,1.96
4816,Kevin Andren,29,5.42
533,Rodney Fitzgerald,29,6.87
3161,Mark Foster,29,3.38
472,Clara Moore,29,3.59
171,George Thigpen,29,4.18
2481,Jennifer Wray,29,0.96
2279,Gladys Cook,29,4.81
4270,Margaret Moilanen,29,8.52
3309,Albert Manriquez,29,7.62
531,Anita Moore,29,3.1
1245,William Fletcher,29,5.7
2286,Robert Hernandez,29,4.2
1577,John Irland,28,1.73
4203,Benjamin Cravens,28,3.95
1043,William Seamon,28,4.53
1579,Zachary Cuthill,28,2.85
1595,Carlos Ochoa,28,6.99
1612,Ruben Morgan,28,9.85
1049,William Bowen,28,7.8
3954,David Carpenter,28,0.82
1563,Joseph Fournier,28,3.07
1569,Laura Johnson,28,8.54
4406,Michael Clay,28,3.24
4152,Rebekah Holliday,28,2.15
4213,Mabel Eley,28,8.5
4380,Rivka Cain,28,6.7
4402,Minnie Donovan,28,4.43
3940,Rosa Guerra,28,0.86
1230,Georgia Jones,28,9.82
4201,Jerry Repinski,28,3.47
4206,Debra Hussain,28,8.08
1537,Kathleen Tucker,28,5.31
4202,Joyce Sanders,28,3.26
4180,Deborah Foucault,28,3.06
4399,Deon Smith,28,2.07
260,Patricia Vargas,28,6.21
1480,Clayton Muddaththir,28,2.75
1311,Michael Waller,28,0.9
1511,Donald Bissell,28,8.33
1356,Vivian Styles,28,5.22
4026,Arnold Smith,28,9.65
1434,Gary Taylor,28,8.79
1115,Betty Verdino,28,2.05
4036,Joshua Carpenter,28,2.19
1358,Wilma Bertran,28,5.0
4274,Scott Deford,28,8.31
1121,Margaret Turner,28,9.16
1363,Martha Moore,28,9.17
1365,Kathy Canipe,28,7.95
263,Brian Kaiser,28,0.61
1425,Aaron Tidwell,28,8.55
1421,Jesse Johnson,28,1.36
1127,Ruth Palm,28,0.56
1420,Joan Perez,28,5.06
4105,Justin Sanchez,28,2.99
1372,Margaret Cherubino,28,7.33
1405,Wesley White,28,0.25
1404,John Moniz,28,1.8
1139,Seth Flynn,28,0.56
1377,Earl Fraiser,28,6.03
1383,Tena Williams,28,7.54
4064,Nathaniel Massey,28,7.12
47,Glenn Haycraft,28,5.03
4118,Michael Galloway,28,4.46
4021,Ann Hunter,28,1.17
4356,Gloria Shipp,28,4.18
256,Juanita Mckenny,28,7.74
1210,Kelley Broadway,28,4.16
1503,Helen Rockmore,28,3.99
1053,James Dixon,28,0.92
4363,Trudy Valles,28,1.01
1208,Bernice Garcia,28,7.42
3979,Gerald Nelson,28,1.76
4242,Wesley Chambers,28,5.22
3988,Larry Reece,28,4.31
4132,Gretchen Weiss,28,1.99
3992,Henry Stevens,28,5.31
57,Violet Bowles,28,5.81
1063,Felicia Carmody,28,8.17
1335,Tina Jastrebski,28,1.25
4347,Larry Schimke,28,7.55
43,Betty Bailey,28,9.81
1459,Ryan Bishop,28,8.36
4338,Heather Grossen,28,7.55
4333,Mary Diaz,28,5.07
245,Charles Ali,28,9.33
4329,Andrew Land,28,3.91
4261,James Pearce,28,8.73
1616,Beverly Madhavan,28,8.71
1964,Brittany Boucher,28,5.55
3873,Jodee Ochoa,28,8.9
2420,Alan Ball,28,9.73
2351,Greg Siebert,28,5.38
2364,Rosemarie Parsons,28,3.47
3234,Linda Venzke,28,8.03
2374,William Page,28,3.07
3219,Candice Webb,28,1.31
2402,Viola Rainey,28,4.17
2405,Gregory Goforth,28,3.46
2407,Javier Griffin,28,6.73
2416,Ann Puckett,28,5.23
2419,Patrick Whittington,28,6.44
117,Larry Lee,28,3.36
1627,Henry Russell,28,8.82
173,Angela Lovick,28,9.92
3195,Bessie Cantell,28,9.35
3190,Sara Terry,28,0.32
3185,Julie Cordes,28,6.32
2438,Janelle Cook,28,3.94
